movieId,title,genres,movie_idx,genre_(no genres listed),genre_Action,genre_Adventure,genre_Animation,genre_Children,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Fantasy,genre_Film-Noir,genre_Horror,genre_IMAX,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Thriller,genre_War,genre_Western
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,Jumanji (1995),Adventure|Children|Fantasy,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,Grumpier Old Men (1995),Comedy|Romance,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,Waiting to Exhale (1995),Comedy|Drama|Romance,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5,Father of the Bride Part II (1995),Comedy,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Heat (1995),Action|Crime|Thriller,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7,Sabrina (1995),Comedy|Romance,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,Tom and Huck (1995),Adventure|Children,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Sudden Death (1995),Action,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,GoldenEye (1995),Action|Adventure|Thriller,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,"American President, The (1995)",Comedy|Drama|Romance,10,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
12,Dracula: Dead and Loving It (1995),Comedy|Horror,11,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,Balto (1995),Adventure|Animation|Children,12,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Nixon (1995),Drama,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,Cutthroat Island (1995),Action|Adventure|Romance,14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,Casino (1995),Crime|Drama,15,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
17,Sense and Sensibility (1995),Drama|Romance,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
18,Four Rooms (1995),Comedy,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Ace Ventura: When Nature Calls (1995),Comedy,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,19,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
21,Get Shorty (1995),Comedy|Crime|Thriller,20,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,21,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
23,Assassins (1995),Action|Crime|Thriller,22,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
24,Powder (1995),Drama|Sci-Fi,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
25,Leaving Las Vegas (1995),Drama|Romance,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
26,Othello (1995),Drama,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
